sites,transfer,base_delta,sensitivity_delta,base_pee,sensitivity_pee,base_price_emissions,sensitivity_price_emissions,year,base_z_share_pct,sensitivity_z_share_pct,diff_z_share_pp,base_capture_gt,sensitivity_capture_gt,diff_capture_gt,base_net_transfer,sensitivity_net_transfer,diff_net_transfer
1043,0,0.02,0.03,6.8,4.9,6.8,4.9,37,19.677517895443042,20.79191733647925,1.114399441036209,-9.97114438011181,-11.436941928881538,-1.4657975487697286,0.0,0.0,0.0
1043,0,0.02,0.03,6.8,4.9,6.8,4.9,38,19.71240862998035,20.838114617574508,1.1257059875941593,-9.920659598966722,-11.412607206273918,-1.4919476073071962,0.0,0.0,0.0
1043,0,0.02,0.03,6.8,4.9,6.8,4.9,39,19.744511331993753,20.88153730996754,1.1370259779737886,-9.860503098526749,-11.391450638007399,-1.5309475394806498,0.0,0.0,0.0
1043,0,0.02,0.03,6.8,4.9,6.8,4.9,40,19.773988454959195,20.92152939406212,1.1475409391029245,-9.79475253725272,-11.366502662505724,-1.5717501252530042,0.0,0.0,0.0
1043,0,0.02,0.03,6.8,4.9,6.8,4.9,41,19.800710286775313,20.95851116728434,1.1578008805090256,-9.730961246633598,-11.34016964818332,-1.6092084015497221,0.0,0.0,0.0
1043,0,0.02,0.03,6.8,4.9,6.8,4.9,42,19.82444610335288,20.992471882852175,1.1680257794992954,-9.669804208861166,-11.322872093049028,-1.6530678841878625,0.0,0.0,0.0
1043,0,0.02,0.03,6.8,4.9,6.8,4.9,43,19.845028166701542,21.0233195358624,1.1782913691608563,-9.60725664803843,-11.303877350065676,-1.6966207020272464,0.0,0.0,0.0
1043,0,0.02,0.03,6.8,4.9,6.8,4.9,44,19.862205317443525,21.050959319445557,1.1887540020020317,-9.54306096947559,-11.283884708515501,-1.7408237390399108,0.0,0.0,0.0
1043,0,0.02,0.03,6.8,4.9,6.8,4.9,45,19.875638129881693,21.075667158973786,1.200029029092093,-9.47695856251599,-11.265473016833624,-1.7885144543176352,0.0,0.0,0.0
1043,0,0.02,0.03,6.8,4.9,6.8,4.9,46,19.885251765828706,21.097353763457587,1.2121019976288814,-9.405717394817287,-11.244577640818278,-1.8388602460009906,0.0,0.0,0.0
1043,0,0.02,0.03,6.8,4.9,6.8,4.9,47,19.892079105997738,21.115927122593025,1.2238480165952872,-9.33201074026013,-11.216038729551883,-1.8840279892917522,0.0,0.0,0.0
1043,0,0.02,0.03,6.8,4.9,6.8,4.9,48,19.89606478007019,21.1331044519225,1.2370396718523082,-9.259003418280713,-11.187098430415404,-1.9280950121346905,0.0,0.0,0.0
1043,0,0.02,0.03,6.8,4.9,6.8,4.9,49,19.897152363123197,21.148843236008936,1.2516908728857388,-9.186486254605057,-11.158514223185023,-1.9720279685799653,0.0,0.0,0.0
1043,0,0.02,0.03,6.8,4.9,6.8,4.9,50,19.89627765348932,21.163099664690595,1.266822011201274,-9.115226175664787,-11.132645087822283,-2.0174189121574955,,,
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,0,14.523680804139719,14.523680804139719,0.0,0.0,0.0,0.0,-2.689990932741673,-1.2998585736849346,1.3901323590567385
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,1,12.808660712260615,12.611936220178091,-0.19672449208252374,-0.16323895187233006,-0.025850055198304744,0.13738889667402532,-0.5375720894915257,0.8502070232514287,1.3877791127429544
