context,model,sites,xi,price_model,pee,metric,abs_metric,source_kind,source_file
parameter_ambiguity,hmc,1043,2,,5.5,0.011079368384027354,0.011079368384027354,shadow_price_local_log,job-outs/stage_hmc/01_shadow_prices_hmc/0037_run.out
parameter_ambiguity,hmc,1043,2,,5.6,-0.005259978948524679,0.005259978948524679,shadow_price_local_log,job-outs/stage_hmc/01_shadow_prices_hmc/0038_run.out
parameter_ambiguity,hmc,1043,2,,5.7,-0.024529466405225665,0.024529466405225665,shadow_price_local_log,job-outs/stage_hmc/01_shadow_prices_hmc/0039_run.out
parameter_ambiguity,hmc,1043,2,,5.8,-0.04046650265215953,0.04046650265215953,shadow_price_local_log,job-outs/stage_hmc/01_shadow_prices_hmc/0040_run.out
parameter_ambiguity,hmc,1043,2,,5.9,-0.050527908375226194,0.050527908375226194,shadow_price_local_log,job-outs/stage_hmc/01_shadow_prices_hmc/0041_run.out
parameter_ambiguity,hmc,1043,2,,6.0,-0.06678274999436284,0.06678274999436284,shadow_price_local_log,job-outs/stage_hmc/01_shadow_prices_hmc/0042_run.out
price_stochasticity,unconstrained,78,0.5,distinct_variance,5.0,0.19820600869653898,0.19820600869653898,mpc_shadow_price_local_log,job-outs/stage_mpc/03_mpc_prices/0001_run.out
price_stochasticity,unconstrained,78,0.5,distinct_variance,5.1,0.18063930014338941,0.18063930014338941,mpc_shadow_price_local_log,job-outs/stage_mpc/03_mpc_prices/0001_run.out
price_stochasticity,unconstrained,78,0.5,distinct_variance,5.2,0.15939266210136438,0.15939266210136438,mpc_shadow_price_local_log,job-outs/stage_mpc/03_mpc_prices/0001_run.out
price_stochasticity,unconstrained,78,0.5,distinct_variance,5.3,0.13928641496783864,0.13928641496783864,mpc_shadow_price_local_log,job-outs/stage_mpc/03_mpc_prices/0001_run.out
price_stochasticity,unconstrained,78,0.5,distinct_variance,5.4,0.1234204878541289,0.1234204878541289,mpc_shadow_price_local_log,job-outs/stage_mpc/03_mpc_prices/0001_run.out
price_stochasticity,unconstrained,78,0.5,distinct_variance,5.5,0.10403322987893446,0.10403322987893446,mpc_shadow_price_local_log,job-outs/stage_mpc/03_mpc_prices/0001_run.out
price_stochasticity,unconstrained,78,0.5,distinct_variance,5.6,0.08248453180807665,0.08248453180807665,mpc_shadow_price_local_log,job-outs/stage_mpc/03_mpc_prices/0001_run.out
price_stochasticity,unconstrained,78,0.5,distinct_variance,5.7,0.06348313113051357,0.06348313113051357,mpc_shadow_price_local_log,job-outs/stage_mpc/03_mpc_prices/0001_run.out
price_stochasticity,unconstrained,78,0.5,distinct_variance,5.8,0.04735345753111678,0.04735345753111678,mpc_shadow_price_local_log,job-outs/stage_mpc/03_mpc_prices/0001_run.out
price_stochasticity,unconstrained,78,0.5,distinct_variance,5.9,0.033807236359788155,0.033807236359788155,mpc_shadow_price_local_log,job-outs/stage_mpc/03_mpc_prices/0001_run.out
price_stochasticity,unconstrained,78,0.5,distinct_variance,6.0,0.015302146575258321,0.015302146575258321,mpc_shadow_price_local_log,job-outs/stage_mpc/03_mpc_prices/0001_run.out
price_stochasticity,unconstrained,78,0.5,distinct_variance,6.1,-0.001492278307344841,0.001492278307344841,mpc_shadow_price_local_log,job-outs/stage_mpc/03_mpc_prices/0001_run.out
price_stochasticity,unconstrained,78,0.5,distinct_variance,6.2,-0.012896665746784768,0.012896665746784768,mpc_shadow_price_local_log,job-outs/stage_mpc/03_mpc_prices/0001_run.out
price_stochasticity,unconstrained,78,0.5,distinct_variance,6.3,-0.023816728253806235,0.023816728253806235,mpc_shadow_price_local_log,job-outs/stage_mpc/03_mpc_prices/0001_run.out
price_stochasticity,unconstrained,78,0.5,distinct_variance,6.4,-0.03491227442338022,0.03491227442338022,mpc_shadow_price_local_log,job-outs/stage_mpc/03_mpc_prices/0001_run.out
price_stochasticity,unconstrained,78,0.5,distinct_variance,6.5,-0.04743749605049462,0.04743749605049462,mpc_shadow_price_local_log,job-outs/stage_mpc/03_mpc_prices/0001_run.out
price_stochasticity,unconstrained,78,0.5,distinct_variance,6.6,-0.05806263540998896,0.05806263540998896,mpc_shadow_price_local_log,job-outs/stage_mpc/03_mpc_prices/0001_run.out
price_stochasticity,unconstrained,78,0.5,distinct_variance,6.7,-0.0726231015080153,0.0726231015080153,mpc_shadow_price_local_log,job-outs/stage_mpc/03_mpc_prices/0001_run.out
price_stochasticity,unconstrained,78,0.5,distinct_variance,6.8,-0.08707511268967934,0.08707511268967934,mpc_shadow_price_local_log,job-outs/stage_mpc/03_mpc_prices/0001_run.out
price_stochasticity,unconstrained,78,0.5,distinct_variance,6.9,-0.10135741385647137,0.10135741385647137,mpc_shadow_price_local_log,job-outs/stage_mpc/03_mpc_prices/0001_run.out
price_stochasticity,unconstrained,78,0.5,distinct_variance,7.0,-0.11826706397743732,0.11826706397743732,mpc_shadow_price_local_log,job-outs/stage_mpc/03_mpc_prices/0001_run.out
price_stochasticity,unconstrained,78,1,distinct_variance,5.0,0.23604044341240238,0.23604044341240238,mpc_shadow_price_local_log,job-outs/stage_mpc/03_mpc_prices/0001_run.out
price_stochasticity,unconstrained,78,1,distinct_variance,5.1,0.2167174028390635,0.2167174028390635,mpc_shadow_price_local_log,job-outs/stage_mpc/03_mpc_prices/0001_run.out
price_stochasticity,unconstrained,78,1,distinct_variance,5.2,0.19816623558916263,0.19816623558916263,mpc_shadow_price_local_log,job-outs/stage_mpc/03_mpc_prices/0001_run.out
price_stochasticity,unconstrained,78,1,distinct_variance,5.3,0.18158591451431003,0.18158591451431003,mpc_shadow_price_local_log,job-outs/stage_mpc/03_mpc_prices/0001_run.out
price_stochasticity,unconstrained,78,1,distinct_variance,5.4,0.16721421608350256,0.16721421608350256,mpc_shadow_price_local_log,job-outs/stage_mpc/03_mpc_prices/0001_run.out
