Country Name,Country Code,gdp_pc_ppp_2018,emissions_pc_2018,Region,gdp_pc_ppp_2018_100k,plot_group
Eswatini,SWZ,8725.16279270436,0.959275667664665,Sub-Saharan Africa,0.08725162792704359,World Bank country/territory or EU
Seychelles,SYC,28190.4768738254,6.40747400839172,Sub-Saharan Africa,0.281904768738254,World Bank country/territory or EU
Chad,TCD,1614.16828691983,0.0691315979407054,Sub-Saharan Africa,0.0161416828691983,World Bank country/territory or EU
Togo,TGO,2110.82641998658,0.286471388670057,Sub-Saharan Africa,0.0211082641998658,World Bank country/territory or EU
Thailand,THA,18530.2117879533,3.71403920358071,East Asia & Pacific,0.185302117879533,World Bank country/territory or EU
Tajikistan,TJK,3497.32358020808,0.805419539521981,Europe & Central Asia,0.034973235802080796,World Bank country/territory or EU
Turkmenistan,TKM,15201.778571094,12.2596481704872,Europe & Central Asia,0.15201778571094002,World Bank country/territory or EU
Timor-Leste,TLS,3168.41925877539,0.504741812732901,East Asia & Pacific,0.0316841925877539,World Bank country/territory or EU
Tonga,TON,6565.22321467831,1.84110311146426,East Asia & Pacific,0.0656522321467831,World Bank country/territory or EU
Trinidad and Tobago,TTO,26880.6387228774,12.7784401237264,Latin America & Caribbean,0.268806387228774,World Bank country/territory or EU
Tunisia,TUN,11658.7268205614,2.59225886480332,Middle East & North Africa,0.116587268205614,World Bank country/territory or EU
Turkey,TUR,27960.980283621,5.0154183703224,Europe & Central Asia,0.27960980283621,World Bank country/territory or EU
Tuvalu,TUV,4040.29591135419,0.869187309865276,East Asia & Pacific,0.0404029591135419,World Bank country/territory or EU
Tanzania,TZA,2652.39137762855,0.20563473262264,Sub-Saharan Africa,0.026523913776285497,World Bank country/territory or EU
Uganda,UGA,2175.8080625016,0.143462178127508,Sub-Saharan Africa,0.021758080625016,World Bank country/territory or EU
Ukraine,UKR,12633.1340735213,4.15418063140229,Europe & Central Asia,0.126331340735213,World Bank country/territory or EU
Uruguay,URY,23588.1513898133,1.8902440792163,Latin America & Caribbean,0.23588151389813303,World Bank country/territory or EU
United States,USA,63064.4184096728,15.2408745833286,North America,0.630644184096728,World Bank country/territory or EU
Uzbekistan,UZB,7252.98519675475,3.4011912817354,Europe & Central Asia,0.0725298519675475,World Bank country/territory or EU
St. Vincent and the Grenadines,VCT,12765.3077242882,2.54060430088014,Latin America & Caribbean,0.127653077242882,World Bank country/territory or EU
Vietnam,VNM,7768.08021752044,2.69880592228919,East Asia & Pacific,0.0776808021752044,World Bank country/territory or EU
Vanuatu,VUT,3167.73497475442,0.615016656701119,East Asia & Pacific,0.0316773497475442,World Bank country/territory or EU
Samoa,WSM,6537.87520461954,1.63158753467124,East Asia & Pacific,0.0653787520461954,World Bank country/territory or EU
South Africa,ZAF,14209.0938333315,7.4966448945296,Sub-Saharan Africa,0.14209093833331501,World Bank country/territory or EU
Zambia,ZMB,3606.09763197027,0.446065443448411,Sub-Saharan Africa,0.036060976319702696,World Bank country/territory or EU
Zimbabwe,ZWE,4017.2217158275,0.849792905399696,Sub-Saharan Africa,0.040172217158275,World Bank country/territory or EU
Brazilian Amazon,AMAZON,9968.0,40.6,Brazilian Amazon,0.09968,Brazilian Amazon
